Serial Number,Author(s),doi,Species,Plant part used,place,TPC,TFC,TCC,Methodogy,solvent system,scienctific name,result,mislenious,Exatraction technique,FRAP,ABTS,DPPH,Unit meaning
1,"(Werkhoff et al., 1998)",doi:10.1021/jf970.655s.,Passiflora edulis ,fruit pulp,Colombia  ,,,,vacuum headspace method (VHS),ethanol,Passiflora edulis f. flavicarpa,Results showed that significant additions of total phenolics occurred during storage whose average results increased from 20.10 to 21.29 mg EAG 100 mL -1 .,¢-phellandrene,"Vacuum headspace method (VHS), dynamic headspace method(DHS), simultaneous distillation and extraction at atmospheric pressure (SDE), and simultaneous distillation and extraction under reduced pressure (SDEV).",,,, = Estimated average glucose
2,"(de Araºjo Esteves Duarte et al., 2021)",doi:10.1039/d1fo01976g,Passiflora edulis ,seeds,Brazil,2.86,70.1,,soxhlet  method,"methanol
",Passiflora edulis,"Results showed that INIAP 2009 and P10 showed a high amount of polyphenols, antioxidant activity and citric content.",proanthocyanidins,,,, , g =  acid equivalent per gram dry weight
3,"(Belmonte-Herrera et al., 2022)",doi:10.3390/nu14173663,Passiflora edulis Sims F. flavicarpa ,"fruit, peel,
pulp, pomace, seed and by-products,","Spain.
 ",,,,,"methanol
","Passiflora edulis Sims F. flavicarpa,  ","The results ofDPPH are reported as 16 MTrolox equivalents (TE)/100 g fw,
1.25mg dw/mL and >10mg dw/mL in pulp, peel, and seed, respectively.  ",,,165.42,,49.71, Mmg catechin g= ixtures of the different enantiomers can be called ( )catechin or DL-catechin
4,"(De Oliveira et al., 2016)",ttps://doi.org/10.5380/cep.v34i1.48988,Passiflora edulis Sims.,fruit pulp,Brazil,24.87,23.87,0.31,soxhlet  method,ethanol/water,PASSIFLORA EDULIS F. FLAVICARPA,"Result shows   under the conditions used in this study, the passion fruit residue flour produced a yield of 9.67 % ( 2.01) in relation to the content in raw material. This result can be attributed to losses during processing such as handling, milling, sieving, and water loss.",proanthocyanidins,using  the  Folin-Ciocalteu  reagent  (FCR).  It  was measured using a gallic acid standard curve over a concentration range of 0.001 and 0.040 mg. ml-1and linear regression (R2 = 0.998),,30.94,41.22,carotene equivalent/100g  = mg ²-carotene equivalent 100 g» fw
5,"(Pertuzatti et al., 2015)",http://dx.doi.org/10.1016/j.lwt.2015.05.031,Passiflora edulis Sims.,fruit pulp,Brazil,10.61,,25.1,maceration method,,PASSIFLORA EDULIS F. FLAVICARPA,The results showed that the passion fruit grown under the organic cultivation approach contained a higher content of tocopherols than those cultivated using conventional methods.,tocopherols,,,,,mg quercetin equivalent/100g =  miligrams of Quercetin Equivalent (QE) per gram of anti-atherosclerotic
6,"(Rotili et al., 2013)",https://doi.org/10.1590/s0100-29452013000400004,Passiflora edulis Sims.,fruits,Brazil,20.1,21.67,,superficial method,ethanol,PASSIFLORA EDULIS F. FLAVICARPA,"According to the analysis of variance (data not shown), there was no significant effect (p<0.05) of the packaging factor for total phenolics and ascorbic acid in yellow passion fruit juice.",ascorbic acid ,"The determination of DPPH antioxidant activity was performed as indicated by De Ancos et al. (2002), in which 150 L of the extract were added to 850 L of the DPPH solution (60 Mol L -1), and left to stand for 30 minutes in the dark. The absorbance was read in a spectrophotometer (BEL Photonics, SP1105) at 515 nm, using ethanol as a blank.",,,36.45,
7,"(He et al., 2020)",https://doi.org/10.3389/fphar.2020.00617,Passiflora edulis Sims.,fruits,China,,158,,maceration method,ethanol,PASSIFLORA EDULIS F. FLAVICARPA," Various extracts, fruit juice and isolated compounds showed a wide range of health effects and biological activities such as antioxidant, anti-hypertensive, anti-tumor, antidiabetic, hypolipidemic activities, and so forth","quercetine, luteolin",,,,,
8,"(Guimar£es et al., 2020)",https://doi.org/10.1590/0102-33062019abb0148,Passiflora edulis Sims.,seeds,Brazil,710,,,maceration method,sodium carbonate,PASSIFLORA EDULIS F. FLAVICARPA,"result showsLeaves of P. edulis plants in juvenile (122.0 g tannic acid mg-1 dry extract), fruiting I (710.0 g tannic acid mg-1 dry extract) and flowering I (571.0 g tannic acid mg-1 dry extract) stages presented the highest levels of phenolic compounds among the studied plant organs, regardless of the plants development stage ",ascorbic acid,"The extracts were prepared by adding to intact tissues a volume of ethanol PA (in mL) correspondent to 10 times the organ weight in grams. After 72 h in sealed flasks in the absence of light Samples, samples were filtered and the organic fraction dried at < 50 C ",,,56.33,
9,"(M et al., 2016)",https://iiste.org/Journals/index.php/JNSR/article/view/33778/34722,Passiflora edulis Sims.,fruits,Nigeria,29.6,0.8,,maceration method,,PASSIFLORA EDULIS F. FLAVICARPA,"The results of proximate composition of juice, rind and seed extract of Passiflora edulis var flavicarpa. The protein, carbohydrate, fat, fibre, moisture, ash and total solids of the juice, rind and seed differ significantly (p<0.05). ",ascorbic acid,"Fifty grams (50g) of each sample were soaked in 500mls of 80% methanol for forty eight (48) hours under room temperature. The resulting mixtures were filtered using Whatman filter paper No 1. The filtrates were collected
and concentrated to half of their original volume in a water bath and the residues were discarded.",,,,
10,"(JUNQUEIRA & AUGUSTO, 2016)",doi:10.1007/s13592-016-0458-2,Passiflora edulis ,flowers, Brazil,,,,transect census method,,Passiflora edulis, a significant increase in pollinator density of both LPD and HPD areas (LPDareas: t = 3.12; df = 16; P = 0.007; HPD areas: t = ˆ’8.09; df = 16; P = 0.005) whereas the thieves density presented a significant decrease (LPD areas: t = 3.69; df = 16; P =0.002; HPD areas: t = 3.67; df = 16; P = 0.002),a-tocopherol and D-atocotrienol ,,,,36.45,
